Flat profile of libsolarus.so.1 (LD_PROFILE, symbolized by sprof_parse.py; glibc sprof broken by dlmopen assertion)
total samples: 6866  rate: 100 Hz  => 68.66 s of libsolarus self-time
text range: 0x0..0x2e1000  bins: 754688 x 4 B  unmapped samples: 15 (0.22%)
CAVEATS: (1) the "_init" bucket is really the .plt region (0xc6d28..0xd1ee8 follows _init with no
covering symbol) = PLT stubs + LD_PROFILE's forced-lazy audit trampoline on every cross-DSO call —
mostly profiling-mode overhead, discount it. (2) samples cover ALL threads (SIGPROF is process-wide):
the lua-console stdin thread busy-polls MainLoop::is_exiting() (173M arc calls over the run) and owns
ranks 2-3. POSSIBLE REAL FINDING, not just an artifact: the daemon launches the engine with stdin from
/dev/null, so getline() hits EOF instantly and this thread likely spins a whole A9 core in SHIP runs too
(competing with the core-1 audio thread). Cheap fix candidate: launch with -lua-console=no.

  %   cumulative   self              self
 time   seconds   seconds    calls  name
  0.58      52.06      0.40        -  void std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > >::_M_realloc_insert<std::shared_ptr<Solarus::Entity> const&>(__gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >, std::shared_ptr<Solarus::Entity> const&)
  0.52      52.42      0.36        -  Solarus::ScopedLuaRef::equals(lua_State*, int) const
  0.51      52.77      0.35        -  Solarus::Entity::update()
  0.45      53.08      0.31        -  Solarus::MisterBlitterRenderer::Impl::emit_draw(Solarus::SurfaceImpl const&, Solarus::DrawInfos const&, int, int)
  0.42      53.37      0.29        -  Solarus::Sprite::update()
  0.39      53.64      0.27        -  void mpix::(anonymous namespace)::neon_argb4444_row<0, 1, 2, 3, true>(unsigned char const*, int, unsigned short*)
  0.38      53.90      0.26        -  Solarus::LuaContext::userdata_has_metafield(Solarus::ExportableToLua const&, char const*) const
  0.35      54.14      0.24        -  Solarus::Surface::is_pixel_transparent(int) const
  0.35      54.38      0.24        -  Solarus::ScopedLuaRef::push(lua_State*) const
  0.33      54.61      0.23        -  Solarus::Quadtree<std::shared_ptr<Solarus::Entity>, Solarus::EntityZOrderComparator>::get_elements(Solarus::Rectangle const&) const
  0.33      54.84      0.23        -  Solarus::Drawable::update()
  0.31      55.05      0.21        -  Solarus::LuaContext::get_entity_internal_type_name[abi:cxx11](Solarus::EntityType)
  0.31      55.26      0.21        -  Solarus::ScopedLuaRef::is_empty() const
  0.29      55.46      0.20        -  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::_Identity<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.29      55.66      0.20        -  Solarus::LuaTools::get_positive_index(lua_State*, int)
  0.28      55.85      0.19        -  Solarus::PixelBits::PixelBits(Solarus::Surface const&, Solarus::Rectangle const&)
  0.28      56.04      0.19        -  Solarus::Entities::get_entities_in_rectangle_z_sorted(Solarus::Rectangle const&, std::vector<std::shared_ptr<Solarus::Entity const>, std::allocator<std::shared_ptr<Solarus::Entity const> > >&) const
  0.28      56.23      0.19        -  Solarus::Entities::draw()
  0.28      56.42      0.19        -  Solarus::LuaContext::has_drawable(std::shared_ptr<Solarus::Drawable> const&)
  0.26      56.60      0.18        -  Solarus::Enemy::get_type() const
  0.26      56.78      0.18        -  Solarus::MisterBlitterRenderer::draw(Solarus::SurfaceImpl&, Solarus::SurfaceImpl const&, Solarus::DrawInfos const&)
  0.26      56.96      0.18        -  Solarus::SDLSurfaceImpl::get_surface() const [clone .localalias]
  0.20      57.10      0.14        -  Solarus::Entity::get_sprites() const
  0.19      57.23      0.13        -  Solarus::Entity::get_xy() const
  0.19      57.36      0.13        -  Solarus::Entity::update_state()
  0.19      57.49      0.13        -  Solarus::Entity::check_collision_with_detectors()
  0.17      57.61      0.12        -  std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > >::~vector()
  0.17      57.73      0.12        -  Solarus::Entities::notify_entity_bounding_box_changed(Solarus::Entity&)
  0.17      57.85      0.12        -  Solarus::Entity::clear_old_movements()
  0.17      57.97      0.12        -  Solarus::LuaContext::update_drawables()
  0.17      58.09      0.12        -  Solarus::ExportableToLua::is_with_lua_table() const
  0.16      58.20      0.11        -  NativeAudioWriter_FreeFrames
  0.16      58.31      0.11        -  NativeAudioWriter_CapacityFrames
  0.16      58.42      0.11        -  Solarus::Map::check_collision_with_detectors(Solarus::Entity&, Solarus::Sprite&)
